qid,IRI,Extract,Enrich,Approval,Percent,Responses
1,http://www.bbc.com/future/story/20151204-the-strange-slightly-disgusting-path-food-takes-through-our-gut,1,0,7,64,11
1,http://www.bbc.com/future/story/20151204-the-strange-slightly-disgusting-path-food-takes-through-our-gut,1,1,8,73,11
2,http://www.bbc.co.uk/radio1/chart/singles,1,0,3,23,13
2,http://www.bbc.co.uk/radio1/chart/singles,1,1,0,0,13
2,http://www.bbc.co.uk/radio1/chart/singles,3,0,1,8,13
2,http://www.bbc.co.uk/radio1/chart/singles,3,1,0,0,13
2,http://www.bbc.co.uk/radio1/chart/singles,5,0,0,0,13
2,http://www.bbc.co.uk/radio1/chart/singles,6,0,7,54,13
2,http://www.bbc.co.uk/radio1/chart/singles,6,1,8,62,13
3,http://www.bbc.com/earth/uk/sections/british-wildlife,0,0,1,10,10
3,http://www.bbc.com/earth/uk/sections/british-wildlife,0,1,7,70,10
3,http://www.bbc.com/earth/uk/sections/british-wildlife,1,0,1,10,10
3,http://www.bbc.com/earth/uk/sections/british-wildlife,1,1,3,30,10
3,http://www.bbc.com/earth/uk/sections/british-wildlife,3,1,8,80,10
3,http://www.bbc.com/earth/uk/sections/british-wildlife,4,0,0,0,10
3,http://www.bbc.com/earth/uk/sections/british-wildlife,5,1,0,0,10
3,http://www.bbc.com/earth/uk/sections/british-wildlife,6,1,2,20,10
4,http://www.bbc.co.uk/timelines/z9kj2hv,0,0,0,0,16
4,http://www.bbc.co.uk/timelines/z9kj2hv,1,0,3,19,16
4,http://www.bbc.co.uk/timelines/z9kj2hv,1,1,10,63,16
4,http://www.bbc.co.uk/timelines/z9kj2hv,3,0,14,88,16
4,http://www.bbc.co.uk/timelines/z9kj2hv,3,1,9,56,16
4,http://www.bbc.co.uk/timelines/z9kj2hv,5,0,8,50,16
4,http://www.bbc.co.uk/timelines/z9kj2hv,5,1,8,50,16
5,http://www.bbc.co.uk/newsround/35540780,0,0,1,8,11
5,http://www.bbc.co.uk/newsround/35540780,0,1,8,67,11
5,http://www.bbc.co.uk/newsround/35540780,1,0,3,27,11
5,http://www.bbc.co.uk/newsround/35540780,3,0,3,27,11
5,http://www.bbc.co.uk/newsround/35540780,3,1,3,27,11
5,http://www.bbc.co.uk/newsround/35540780,4,0,0,0,11
5,http://www.bbc.co.uk/newsround/35540780,4,1,1,9,11
5,http://www.bbc.co.uk/newsround/35540780,5,0,0,0,11
5,http://www.bbc.co.uk/newsround/35540780,5,1,3,27,11
5,http://www.bbc.co.uk/newsround/35540780,6,0,5,45,11
5,http://www.bbc.co.uk/newsround/35540780,6,1,2,18,11
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,0,0,0,0,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,0,1,0,0,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,1,0,0,0,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,1,1,1,11,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,3,0,4,44,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,3,1,3,33,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,4,0,5,56,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,4,1,4,44,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,5,0,1,11,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,5,1,1,11,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,6,0,0,0,9
6,http://www.bbc.co.uk/newsbeat/article/35385181/lord-sugar-says-he-only-wants-serious-people-for-the-apprentice,6,1,2,22,9
7,http://www.bbc.co.uk/history/0/23931340,1,0,2,22,9
7,http://www.bbc.co.uk/history/0/23931340,5,0,7,78,9
